flagged_risk_score,flagged_amount,flagged_is_online,flagged_is_in_person,is_new_device,is_proxy,has_device,mismatch_count,is_new_region,concurrent_home_count,amount_to_mean_ratio,amount_to_p75_ratio,prior_txns_count,prior_in_person_pct,prior_online_pct,txns_24h,txns_48h,online_48h,exposure_48h,conf_testing,conf_burst,conf_new_device,conf_region,conf_ato,max_graph_pattern,has_corroborated_pattern,lone_risk_score,prior_cases_count,prior_fraud_rate,case_id,card_id,outcome,target,pattern,exposure_usd,actions_taken,report_filed
0.09,149.95,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9999933311548439,0.9999933311548439,0.0,0.0,1.0,1.0,1.0,1.0,149.95,0.05,0.45,0.82,0.1,0.15,0.82,1.0,0.0,0.0,0.5,CC-0011,C13259-K1,confirmed_fraud,1,card_not_present_new_device,149.95,CREATE_CASE|BLOCK_CARD,No
0.46,123.52,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.1366175987268856,2.1366175987268856,1.0,0.0,1.0,1.0,2.0,2.0,181.32999999999998,0.05,0.85,0.25,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0012,C07220-K1,confirmed_fraud,1,card_not_present_fraud,123.52,CREATE_CASE|BLOCK_CARD,No
0.6,261.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.3970315059342426,1.9506147098465272,4.0,1.0,0.0,5.0,6.0,0.0,815.98,0.05,0.2,0.1,0.1,0.15,0.2,0.0,0.6,0.0,0.5,CC-0013,C11464-K2,confirmed_fraud,1,account_takeover,261.95,CREATE_CASE|BLOCK_CARD,No
0.68,75.15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5041560166643186,0.5041560166643186,1.0,0.0,1.0,2.0,2.0,2.0,224.21,0.05,0.72,0.25,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0014,C01002-K1,confirmed_fraud,1,card_not_present_fraud,75.15,CREATE_CASE|BLOCK_CARD,No
0.92,93.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.999989339132845,0.999989339132845,0.0,0.0,1.0,1.0,1.0,1.0,93.8,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.92,0.0,0.5,CC-0015,C04597-K2,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.49,68.46,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.4693348689893464,0.4175765190977517,4.0,1.0,0.0,11.0,14.0,1.0,1634.78,0.05,0.45,0.1,0.88,0.88,0.88,1.0,0.0,0.0,0.5,CC-0016,C03575-K2,confirmed_fraud,1,out_of_region_use,68.46,CREATE_CASE|BLOCK_CARD,No
0.88,149.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4419707029090367,1.1976903910043444,4.0,0.5,0.5,4.0,5.0,3.0,565.98,0.05,0.85,0.1,0.1,0.72,0.85,1.0,0.0,0.0,0.5,CC-0017,C03651-K2,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.88,150.07,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.999993336487396,0.999993336487396,0.0,0.0,1.0,1.0,1.0,1.0,150.07,0.05,0.45,0.9,0.1,0.15,0.9,1.0,0.0,0.0,0.5,CC-0018,C06800-K1,confirmed_fraud,1,card_not_present_new_device,150.07,CREATE_CASE|BLOCK_CARD,No
0.73,225.09,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9999955573523597,0.9999955573523597,0.0,0.0,1.0,3.0,3.0,1.0,1032.19,0.05,0.45,0.82,0.1,0.72,0.82,1.0,0.0,0.0,0.5,CC-0019,C06208-K1,confirmed_fraud,1,card_not_present_new_device,225.09,CREATE_CASE|BLOCK_CARD,No
0.68,99.94,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.9999899940965169,0.9999899940965169,0.0,1.0,0.0,2.0,5.0,0.0,916.63,0.05,0.2,0.1,0.88,0.75,0.88,1.0,0.0,0.0,0.5,CC-0020,C11082-K1,confirmed_fraud,1,account_takeover,433.91,CREATE_CASE|BLOCK_CARD,No
0.86,50.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999800363338724,0.9999800363338724,0.0,0.0,1.0,1.0,1.0,1.0,50.09,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.86,0.0,0.5,CC-0021,C04265-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.53,100.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.9999900040983196,0.9999900040983196,0.0,0.0,1.0,7.0,8.0,2.0,1055.35,0.05,0.85,0.25,0.1,0.72,0.85,1.0,0.0,0.0,0.5,CC-0022,C07847-K2,confirmed_fraud,1,card_not_present_fraud,100.04,CREATE_CASE|BLOCK_CARD,No
0.08,150.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.1257119460529437,0.7503963272838203,33.0,0.2727272727272727,0.7272727272727273,23.0,34.0,25.0,4548.7,0.05,0.2,0.1,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0023,C11309-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.87,900.08,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,17.968896608173125,17.968896608173125,1.0,1.0,0.0,3.0,3.0,0.0,1944.15,0.05,0.2,0.1,0.88,0.15,0.88,1.0,0.0,0.0,0.5,CC-0024,C06059-K2,confirmed_fraud,1,account_takeover,1894.06,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes
0.17,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1910291683043317,0.9264749481174028,3.0,1.0,0.0,3.0,6.0,0.0,441.8,0.05,0.2,0.1,0.1,0.15,0.2,0.0,0.17,0.0,0.5,CC-0025,C12311-K2,confirmed_fraud,1,account_takeover,100.0,CREATE_CASE|BLOCK_CARD,No
0.08,250.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.246617152600958,1.1735136885680626,19.0,0.8421052631578947,0.15789473684210525,17.0,20.0,3.0,4060.7799999999997,0.05,0.72,0.1,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0026,C08842-K2,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.87,59.06,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.5904169707390708,0.5904169707390708,1.0,1.0,0.0,4.0,4.0,0.0,525.55,0.05,0.2,0.1,0.1,0.75,0.75,1.0,0.0,0.0,0.5,CC-0027,C02999-K2,confirmed_fraud,1,account_takeover,59.06,CREATE_CASE|BLOCK_CARD,No
0.1,250.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.1388352035076585,0.6479423993614901,6.0,0.8333333333333334,0.16666666666666666,11.0,13.0,3.0,2326.88,0.05,0.72,0.25,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0028,C07741-K2,confirmed_fraud,1,card_not_present_fraud,250.04,CREATE_CASE|BLOCK_CARD,No
0.2,150.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999933355992295,0.9999933355992295,0.0,0.0,1.0,2.0,4.0,4.0,750.15,0.05,0.85,0.1,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0029,C03277-K1,confirmed_fraud,1,card_not_present_new_device,600.08,CREATE_CASE|BLOCK_CARD,No
0.26,59.01,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.37121145402161465,0.3199353731630553,2.0,1.0,0.0,1.0,3.0,0.0,376.94,0.05,0.2,0.1,0.88,0.75,0.88,1.0,0.0,0.0,0.5,CC-0030,C04762-K1,confirmed_fraud,1,out_of_region_use,59.01,CREATE_CASE|BLOCK_CARD,No
0.07,20.36,1.0,0.0,1.0,0.0,1.0,1.0,0.0,167.0,0.6372377184636187,0.5374371428194332,50.0,0.0,1.0,100.0,156.0,156.0,4946.59,0.05,0.2,0.82,0.1,0.15,0.82,1.0,0.0,0.0,0.5,CC-0031,C11923-K2,confirmed_fraud,1,card_not_present_new_device,20.36,CREATE_CASE|BLOCK_CARD,No
0.85,100.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8853890010269486,0.8696257070436987,2.0,1.0,0.0,1.0,3.0,1.0,325.92,0.05,0.45,0.1,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0032,C09289-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.15,116.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4551531709585537,0.7798627185463375,29.0,0.3103448275862069,0.6896551724137931,39.0,72.0,46.0,13924.31,0.05,0.2,0.1,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0033,C05704-K2,confirmed_fraud,1,account_takeover,374.83,CREATE_CASE|BLOCK_CARD,No
0.89,1486.49,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999993272747699,0.9999993272747699,0.0,1.0,0.0,1.0,1.0,0.0,1486.49,0.05,0.2,0.1,0.88,0.15,0.88,1.0,0.0,0.0,0.5,CC-0034,C03880-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.93,150.05,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9999933355992295,0.9999933355992295,0.0,0.0,1.0,1.0,1.0,1.0,150.05,0.05,0.45,0.25,0.1,0.15,0.45,0.0,0.93,0.0,0.5,CC-0035,C09196-K1,confirmed_fraud,1,card_not_present_fraud,150.05,CREATE_CASE|BLOCK_CARD,No
0.76,137.01,0.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,0.6525186811512066,0.6525186811512066,1.0,1.0,0.0,15.0,16.0,1.0,1450.37,0.05,0.45,0.1,0.1,0.88,0.88,1.0,0.0,0.0,0.5,CC-0036,C03738-K2,confirmed_fraud,1,account_takeover,137.01,CREATE_CASE|BLOCK_CARD,No
0.84,31.38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.1912987358110931,0.995921735404732,4.0,0.0,1.0,2.0,3.0,3.0,94.97,0.05,0.85,0.1,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0037,C05996-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.86,200.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999950002749849,0.9999950002749849,0.0,0.0,1.0,1.0,1.0,1.0,200.01,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.86,0.0,0.5,CC-0038,C02717-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.25,170.93,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999941496861307,0.9999941496861307,0.0,1.0,0.0,1.0,1.0,0.0,170.93,0.05,0.2,0.1,0.38,0.15,0.38,0.0,0.25,0.0,0.5,CC-0039,C13061-K1,confirmed_fraud,1,account_takeover,170.93,CREATE_CASE|BLOCK_CARD,No
0.9,49.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999799883932682,0.9999799883932682,0.0,0.0,1.0,1.0,1.0,1.0,49.97,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.9,0.0,0.5,CC-0040,C08675-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.11,75.03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,0.5376339760445634,0.6947157896686141,57.0,0.8245614035087719,0.17543859649122806,74.0,104.0,13.0,13859.06,0.05,0.2,0.1,0.1,0.88,0.88,1.0,0.0,0.0,0.5,CC-0041,C07648-K2,confirmed_fraud,1,out_of_region_use,75.03,CREATE_CASE|BLOCK_CARD,No
0.91,49.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.3099278248382109,0.357012672341703,45.0,0.9333333333333333,0.06666666666666667,28.0,43.0,4.0,6916.35,0.05,0.85,0.1,0.1,0.72,0.85,1.0,0.0,0.0,0.5,CC-0042,C12094-K2,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.43,87.01,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.999988507200239,0.999988507200239,0.0,1.0,0.0,4.0,5.0,0.0,423.90999999999997,0.05,0.2,0.1,0.38,0.75,0.75,1.0,0.0,0.0,0.5,CC-0043,C10164-K1,confirmed_fraud,1,out_of_region_use,87.01,CREATE_CASE|BLOCK_CARD,No
0.37,13.33,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.1999462317825548,0.13465870634704166,39.0,0.9743589743589743,0.02564102564102564,33.0,49.0,1.0,3381.38,0.05,0.45,0.1,0.88,0.88,0.88,1.0,0.0,0.0,0.5,CC-0044,C06147-K2,confirmed_fraud,1,out_of_region_use,13.33,CREATE_CASE|BLOCK_CARD,No
0.72,200.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.9999950012746749,0.9999950012746749,0.0,1.0,0.0,2.0,4.0,0.0,1282.8200000000002,0.05,0.2,0.1,0.88,0.15,0.88,1.0,0.0,0.0,0.5,CC-0045,C07212-K2,confirmed_fraud,1,out_of_region_use,1282.82,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes
0.12,10.04,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.999900408325864,0.999900408325864,0.0,0.0,1.0,0.0,1.0,1.0,10.04,0.05,0.45,0.82,0.1,0.15,0.82,1.0,0.0,0.0,0.5,CC-0046,C01579-K1,confirmed_fraud,1,card_not_present_new_device,10.04,CREATE_CASE|BLOCK_CARD,No
0.31,10.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.9999007049945389,0.9999007049945389,0.0,0.0,1.0,6.0,8.0,5.0,234.06,0.05,0.72,0.25,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0047,C03108-K1,confirmed_fraud,1,card_not_present_fraud,50.05,CREATE_CASE|BLOCK_CARD,No
0.23,149.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.2250943626647486,0.934440837233068,39.0,0.23076923076923078,0.7692307692307693,24.0,40.0,31.0,4973.74,0.05,0.2,0.25,0.1,0.72,0.72,1.0,0.0,1.0,0.0,CC-0048,C11309-K1,confirmed_fraud,1,card_not_present_fraud,149.96,CREATE_CASE|BLOCK_CARD,No
0.5,200.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9999950005249448,0.9999950005249448,0.0,0.0,1.0,2.0,2.0,2.0,399.95000000000005,0.05,0.72,0.25,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0049,C01638-K1,confirmed_fraud,1,card_not_present_fraud,399.95,CREATE_CASE|BLOCK_CARD,No
0.37,48.01,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.7721753116204262,0.8126131920583606,10.0,1.0,0.0,5.0,10.0,0.0,1122.79,0.05,0.2,0.1,0.88,0.15,0.88,1.0,0.0,0.0,0.5,CC-0050,C09221-K2,confirmed_fraud,1,out_of_region_use,48.01,CREATE_CASE|BLOCK_CARD,No
0.05,79.97,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.9999874954671067,0.9999874954671067,0.0,1.0,0.0,2.0,2.0,0.0,177.01999999999998,0.05,0.2,0.1,0.88,0.75,0.88,1.0,0.0,0.0,0.5,CC-0051,C05976-K1,confirmed_fraud,1,account_takeover,177.02,CREATE_CASE|BLOCK_CARD,No
0.73,52.36,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999809018162373,0.9999809018162373,0.0,0.0,1.0,1.0,1.0,1.0,52.36,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.73,0.0,0.5,CC-0052,C11595-K1,confirmed_fraud,1,card_not_present_fraud,52.36,CREATE_CASE|BLOCK_CARD,No
0.04,774.08,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.99999870814553,0.99999870814553,0.0,1.0,0.0,1.0,1.0,0.0,774.08,0.05,0.2,0.1,0.38,0.75,0.75,1.0,0.0,0.0,0.5,CC-0053,C02000-K2,confirmed_fraud,1,out_of_region_use,774.08,CREATE_CASE|BLOCK_CARD,No
0.28,60.71,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7817308558993574,0.7817308558993574,1.0,0.0,1.0,1.0,2.0,2.0,138.37,0.05,0.72,0.25,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0054,C05736-K1,confirmed_fraud,1,card_not_present_fraud,60.71,CREATE_CASE|BLOCK_CARD,No
0.4,83.69,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.4401076846821463,2.1677977516448217,3.0,0.0,1.0,1.0,4.0,4.0,186.57999999999998,0.05,0.85,0.25,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0055,C04248-K2,confirmed_fraud,1,card_not_present_fraud,83.69,CREATE_CASE|BLOCK_CARD,No
0.18,40.21,1.0,0.0,1.0,0.0,1.0,1.0,0.0,20.0,0.6352692113245703,0.5673488680536448,2.0,0.0,1.0,17.0,20.0,20.0,1417.25,0.05,0.2,0.82,0.1,0.15,0.82,1.0,0.0,0.0,0.5,CC-0056,C13171-K2,confirmed_fraud,1,card_not_present_new_device,40.21,CREATE_CASE|BLOCK_CARD,No
0.75,108.42,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,1.2124668701982753,1.0001752751358381,19.0,1.0,0.0,8.0,19.0,0.0,1503.41,0.05,0.2,0.1,0.1,0.15,0.2,0.0,0.75,0.0,0.5,CC-0057,C12598-K2,confirmed_fraud,1,account_takeover,108.42,CREATE_CASE|BLOCK_CARD,No
0.88,99.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.57266776138966,0.42986853305589706,7.0,0.5714285714285714,0.42857142857142855,6.0,7.0,3.0,1222.1299999999999,0.05,0.72,0.1,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0058,C03412-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.62,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.28178539224526594,0.21274671971151543,2.0,0.5,0.5,20.0,34.0,22.0,4913.71,0.05,0.2,0.25,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0059,C09165-K2,confirmed_fraud,1,card_not_present_new_device,185.01,CREATE_CASE|BLOCK_CARD,No
0.53,450.06,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999977780789716,0.9999977780789716,0.0,0.0,1.0,0.0,2.0,2.0,899.98,0.05,0.72,0.25,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0060,C03348-K1,confirmed_fraud,1,card_not_present_fraud,899.98,CREATE_CASE|BLOCK_CARD,No
0.86,99.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999899970991587,0.9999899970991587,0.0,0.0,1.0,1.0,1.0,1.0,99.97,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.86,0.0,0.5,CC-0061,C03699-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.74,40.03,0.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,0.33160750528103383,0.2839792566738317,25.0,1.0,0.0,23.0,63.0,4.0,6087.5,0.05,0.85,0.1,0.1,0.88,0.88,1.0,0.0,0.0,0.5,CC-0062,C07867-K2,confirmed_fraud,1,out_of_region_use,526.98,CREATE_CASE|BLOCK_CARD,No
0.53,249.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.4309952732414213,2.9653797783736326,3.0,0.3333333333333333,0.6666666666666666,63.0,112.0,58.0,26438.53,0.05,0.2,0.25,0.1,0.72,0.72,1.0,0.0,0.0,0.5,CC-0063,C11000-K2,confirmed_fraud,1,account_takeover,2659.62,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes
0.39,225.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9999955559703316,0.9999955559703316,0.0,0.0,1.0,1.0,3.0,3.0,500.04,0.05,0.85,0.25,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0064,C13005-K1,confirmed_fraud,1,card_not_present_fraud,450.1,CREATE_CASE|BLOCK_CARD,No
0.83,149.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.902757432419352,2.308331793829669,3.0,0.3333333333333333,0.6666666666666666,1.0,3.0,3.0,274.98,0.05,0.85,0.1,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0065,C03839-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.83,199.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9996450372710864,0.9996450372710864,1.0,0.0,1.0,2.0,2.0,2.0,399.97,0.05,0.72,0.1,0.1,0.15,0.72,1.0,0.0,0.0,0.5,CC-0066,C10167-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.62,37.16,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.999973090067544,0.999973090067544,0.0,0.0,1.0,6.0,6.0,6.0,228.73999999999998,0.05,0.85,0.25,0.1,0.15,0.85,1.0,0.0,0.0,0.5,CC-0067,C11844-K2,confirmed_fraud,1,card_not_present_fraud,111.36,CREATE_CASE|BLOCK_CARD,No
0.88,25.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999601450719381,0.9999601450719381,0.0,0.0,1.0,1.0,1.0,1.0,25.09,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.88,0.0,0.5,CC-0068,C09076-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.84,99.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999899910920719,0.9999899910920719,0.0,0.0,1.0,1.0,1.0,1.0,99.91,0.05,0.45,0.1,0.1,0.15,0.45,0.0,0.84,0.0,0.5,CC-0069,C01471-K1,cleared,0,none,0.0,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No
0.53,334.94,0.0,1.0,0.0,0.0,0.0,2.0,0.0,51.0,2.453582658731588,1.319786353328723,24.0,0.7916666666666666,0.20833333333333334,24.0,58.0,5.0,9920.18,0.05,0.72,0.1,0.1,0.88,0.88,1.0,0.0,0.0,0.5,CC-0070,C12166-K2,confirmed_fraud,1,account_takeover,334.94,CREATE_CASE|BLOCK_CARD,No
0.06,47.19,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.8799015494769816,0.7260446796725951,3.0,0.0,1.0,1.0,2.0,2.0,95.49,0.05,0.72,0.82,0.1,0.15,0.82,1.0,0.0,0.0,0.5,CC-0071,C13372-K1,confirmed_fraud,1,card_not_present_new_device,47.19,CREATE_CASE|BLOCK_CARD,No
0.69,150.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999933333777774,0.9999933333777774,0.0,1.0,0.0,0.0,1.0,0.0,150.0,0.05,0.2,0.1,0.38,0.15,0.38,0.0,0.69,0.0,0.5,CC-0072,C12111-K1,confirmed_fraud,1,out_of_region_use,150.0,CREATE_CASE|BLOCK_CARD,No
